state,Year,Population
Alabama,2020,5033094
Alaska,2020,733017
Arizona,2020,7187135
Arkansas,2020,3014546
California,2020,39521958
Colorado,2020,5787129
Connecticut,2020,3579918
Delaware,2020,991928
District of Columbia,2020,670917
Florida,2020,21592035
Georgia,2020,10732888
Hawaii,2020,1451252
Idaho,2020,1849415
Illinois,2020,12799088
Indiana,2020,6790497
Iowa,2020,3191141
Kansas,2020,2938172
Kentucky,2020,4508318
Louisiana,2020,4652301
Maine,2020,1364571
Maryland,2020,6177935
Massachusetts,2020,6994598
Michigan,2020,10072703
Minnesota,2020,5710735
Mississippi,2020,2958536
Missouri,2020,6154744
Montana,2020,1087230
Nebraska,2020,1963387
Nevada,2020,3116967
New Hampshire,2020,1378756
New Jersey,2020,9272794
New Mexico,2020,2118606
New York,2020,20105171
North Carolina,2020,10449652
North Dakota,2020,779563
Ohio,2020,11798905
Oklahoma,2020,3965415
Oregon,2020,4243779
Pennsylvania,2020,12996143
Rhode Island,2020,1096530
South Carolina,2020,5132249
South Dakota,2020,887948
Tennessee,2020,6927904
Texas,2020,29239570
Utah,2020,3284077
Vermont,2020,642977
Virginia,2020,8637615
Washington,2020,7727209
West Virginia,2020,1791646
Wisconsin,2020,5897375
Wyoming,2020,577681
Puerto Rico,2020,3281590
Alabama,2021,5049196
Alaska,2021,734420
Arizona,2021,7274078
Arkansas,2021,3026870
California,2021,39142565
Colorado,2021,5814036
Connecticut,2021,3606607
Delaware,2021,1005062
District of Columbia,2021,669256
Florida,2021,21831949
Georgia,2021,10792060
Hawaii,2021,1447029
Idaho,2021,1904848
Illinois,2021,12700641
Indiana,2021,6815907
Iowa,2021,3198613
Kansas,2021,2938338
Kentucky,2021,4507583
Louisiana,2021,4627971
Maine,2021,1378931
Maryland,2021,6179403
Massachusetts,2021,7000474
Michigan,2021,10041351
Minnesota,2021,5718660
Mississippi,2021,2947209
Missouri,2021,6171374
Montana,2021,1106522
Nebraska,2021,1964537
Nevada,2021,3148141
New Hampshire,2021,1387677
New Jersey,2021,9270541
New Mexico,2021,2117333
New York,2021,19848276
North Carolina,2021,10564320
North Dakota,2021,777966
Ohio,2021,11767344
Oklahoma,2021,3992238
Oregon,2021,4254280
Pennsylvania,2021,13015571
Rhode Island,2021,1097246
South Carolina,2021,5194274
South Dakota,2021,896492
Tennessee,2021,6965740
Texas,2021,29570351
Utah,2021,3339738
Vermont,2021,647210
Virginia,2021,8658910
Washington,2021,7743760
West Virginia,2021,1785618
Wisconsin,2021,5881608
Wyoming,2021,579636
Puerto Rico,2021,3262711
Alabama,2022,5076181
Alaska,2022,734442
Arizona,2022,7377566
Arkansas,2022,3047704
California,2022,39142414
Colorado,2022,5850935
Connecticut,2022,3617925
Delaware,2022,1020625
District of Columbia,2022,676725
Florida,2022,22379312
Georgia,2022,10931805
Hawaii,2022,1440359
Idaho,2022,1944299
Illinois,2022,12621821
Indiana,2022,6844545
Iowa,2022,3202820
Kansas,2022,2937324
Kentucky,2022,4519233
Louisiana,2022,4593687
Maine,2022,1390922
Maryland,2022,6192440
Massachusetts,2022,7022468
Michigan,2022,10050877
Minnesota,2022,5721621
Mississippi,2022,2941939
Missouri,2022,6179414
Montana,2022,1122095
Nebraska,2022,1972246
Nevada,2022,3176116
New Hampshire,2022,1396678
New Jersey,2022,9295227
New Mexico,2022,2113868
New York,2022,19703747
North Carolina,2022,10710793
North Dakota,2022,781057
Ohio,2022,11777874
Oklahoma,2022,4026229
Oregon,2022,4247372
Pennsylvania,2022,12984990
Rhode Island,2022,1099498
South Carolina,2022,5287935
South Dakota,2022,909723
Tennessee,2022,7062217
Texas,2022,30113488
Utah,2022,3391011
Vermont,2022,648142
Virginia,2022,8683414
Washington,2022,7794123
West Virginia,2022,1774122
Wisconsin,2022,5903975
Wyoming,2022,581978
Puerto Rico,2022,3220137
Alabama,2023,5117673
Alaska,2023,736510
Arizona,2023,7473027
Arkansas,2023,3069463
California,2023,39198693
Colorado,2023,5901339
Connecticut,2023,3643023
Delaware,2023,1036423
District of Columbia,2023,687324
Florida,2023,22904868
Georgia,2023,11064432
Hawaii,2023,1441387
Idaho,2023,1971122
Illinois,2023,12642259
Indiana,2023,6880131
Iowa,2023,3218414
Kansas,2023,2951500
Kentucky,2023,4550595
Louisiana,2023,4588071
Maine,2023,1399646
Maryland,2023,6217062
Massachusetts,2023,7066568
Michigan,2023,10083356
Minnesota,2023,5753048
Mississippi,2023,2943172
Missouri,2023,6208038
Montana,2023,1131302
Nebraska,2023,1987864
Nevada,2023,3214363
New Hampshire,2023,1402199
New Jersey,2023,9379642
New Mexico,2023,2121164
New York,2023,19737367
North Carolina,2023,10881189
North Dakota,2023,789047
Ohio,2023,11824034
Oklahoma,2023,4063882
Oregon,2023,4253653
Pennsylvania,2023,13017721
Rhode Island,2023,1103429
South Carolina,2023,5387830
South Dakota,2023,918305
Tennessee,2023,7148304
Texas,2023,30727890
Utah,2023,3443222
Vermont,2023,648708
Virginia,2023,8734685
Washington,2023,7857320
West Virginia,2023,1770495
Wisconsin,2023,5930405
Wyoming,2023,585067
Puerto Rico,2023,3203792
Alabama,2024,5157699
Alaska,2024,740133
Arizona,2024,7582384
Arkansas,2024,3088354
California,2024,39431263
Colorado,2024,5957493
Connecticut,2024,3675069
Delaware,2024,1051917
District of Columbia,2024,702250
Florida,2024,23372215
Georgia,2024,11180878
Hawaii,2024,1446146
Idaho,2024,2001619
Illinois,2024,12710158
Indiana,2024,6924275
Iowa,2024,3241488
Kansas,2024,2970606
Kentucky,2024,4588372
Louisiana,2024,4597740
Maine,2024,1405012
Maryland,2024,6263220
Massachusetts,2024,7136171
Michigan,2024,10140459
Minnesota,2024,5793151
Mississippi,2024,2943045
Missouri,2024,6245466
Montana,2024,1137233
Nebraska,2024,2005465
Nevada,2024,3267467
New Hampshire,2024,1409032
New Jersey,2024,9500851
New Mexico,2024,2130256
New York,2024,19867248
North Carolina,2024,11046024
North Dakota,2024,796568
Ohio,2024,11883304
Oklahoma,2024,4095393
Oregon,2024,4272371
Pennsylvania,2024,13078751
Rhode Island,2024,1112308
South Carolina,2024,5478831
South Dakota,2024,924669
Tennessee,2024,7227750
Texas,2024,31290831
Utah,2024,3503613
Vermont,2024,648493
Virginia,2024,8811195
Washington,2024,7958180
West Virginia,2024,1769979
Wisconsin,2024,5960975
Wyoming,2024,587618
Puerto Rico,2024,3203295
